mauReal,ratings,daily_ratings,reviews,daily_reviews,mes,dia,appId_encoded,category_encoded
546565.0,74411.0,48.0,29169.0,20.0,1,1,35,3
553051.0,74459.0,106.0,29189.0,21.0,1,2,35,3
254350.0,34279.0,3.0,14602.0,4.0,1,1,126,0
252237.0,34282.0,1.0,14606.0,3.0,1,2,126,0
28508.0,7603.0,1.0,1308.0,1.0,1,1,24,3
28492.0,7604.0,6.0,1309.0,0.0,1,2,24,3
199856.0,67651.0,13.0,17101.0,7.0,1,1,178,1
199638.0,67664.0,22.0,17108.0,4.0,1,2,178,1
11457303.0,1931159.0,235.0,688383.0,66.0,1,1,159,4
11470139.0,1931394.0,348.0,688449.0,0.0,1,2,159,4
490644.0,201401.0,37.0,47813.0,7.0,1,1,103,4
490537.0,201438.0,67.0,47820.0,13.0,1,2,103,4
736659.0,200814.0,64.0,26378.0,18.0,1,1,108,4
737284.0,200878.0,159.0,26396.0,9.0,1,2,108,4
2907303.0,469895.0,953.0,41746.0,145.0,1,1,76,3
3001052.0,470848.0,2223.0,41891.0,145.0,1,2,76,3
1634580.0,239976.0,19.0,129253.0,22.0,1,1,93,1
1635598.0,239995.0,35.0,129275.0,29.0,1,2,93,1
42136.0,13220.0,1.0,6915.0,2.0,1,1,42,1
42044.0,13221.0,0.0,6917.0,0.0,1,2,42,1
161953.0,41272.0,1.0,21655.0,5.0,1,1,166,1
161880.0,41273.0,7.0,21660.0,1.0,1,2,166,1
53055.0,15880.0,3.0,8605.0,0.0,1,1,59,1
52983.0,15879.0,0.0,8605.0,0.0,1,2,59,1
5560.0,1478.0,0.0,774.0,0.0,1,1,123,3
5410.0,1478.0,0.0,774.0,0.0,1,2,123,3
145554.0,28771.0,8.0,9143.0,0.0,1,1,83,1
146179.0,28779.0,7.0,9143.0,3.0,1,2,83,1
454205.0,74587.0,84.0,29904.0,14.0,1,1,157,1
453872.0,74671.0,86.0,29918.0,16.0,1,2,157,1
177939.0,24503.0,8.0,6186.0,0.0,1,1,53,3
179084.0,24511.0,7.0,6186.0,0.0,1,2,53,3
36513.0,177380.0,-4.0,40.0,0.0,1,1,74,2
36478.0,177376.0,-4.0,40.0,0.0,1,2,74,2
966721.0,338894.0,110.0,59012.0,10.0,1,1,149,3
970677.0,339004.0,166.0,59022.0,4.0,1,2,149,3
266649.0,46716.0,2.0,16352.0,3.0,1,1,61,3
268043.0,46718.0,3.0,16355.0,7.0,1,2,61,3
63307.0,3851.0,5.0,699.0,1.0,1,1,172,5
63386.0,3856.0,4.0,700.0,0.0,1,2,172,5
34510.0,2651.0,1.0,1212.0,1.0,1,1,79,4
34499.0,2652.0,0.0,1213.0,0.0,1,2,79,4
591203.0,35870.0,6.0,12991.0,4.0,1,1,145,4
590726.0,35876.0,13.0,12995.0,6.0,1,2,145,4
323154.0,110825.0,2.0,27956.0,4.0,1,1,31,2
323610.0,110827.0,6.0,27960.0,0.0,1,2,31,2
23779.0,3940.0,1.0,2130.0,2.0,1,1,192,3
23741.0,3939.0,4.0,2132.0,0.0,1,2,192,3
77387.0,62744.0,1.0,26406.0,1.0,1,1,4,1
77215.0,62745.0,-1.0,26407.0,-1.0,1,2,4,1
435389.0,155429.0,5.0,47489.0,3.0,1,1,60,4
433231.0,155434.0,11.0,47486.0,3.0,1,2,60,4
595117.0,198997.0,9.0,66228.0,4.0,1,1,116,4
593221.0,199006.0,47.0,66232.0,2.0,1,2,116,4
9655.0,1306.0,0.0,807.0,0.0,1,1,164,1
9619.0,1305.0,1.0,807.0,0.0,1,2,164,1
1326216.0,554215.0,13.0,136064.0,24.0,1,1,120,3
1323739.0,554228.0,39.0,136088.0,12.0,1,2,120,3
422698.0,56121.0,4.0,14906.0,3.0,1,1,16,0
426614.0,56125.0,22.0,14909.0,7.0,1,2,16,0
795879.0,546582.0,220.0,83173.0,204.0,1,1,9,1
795057.0,546802.0,555.0,83377.0,245.0,1,2,9,1
1974569.0,97211.0,12.0,56560.0,26.0,1,1,55,0
1974989.0,97223.0,43.0,56586.0,40.0,1,2,55,0
33407.0,2958.0,1.0,1241.0,1.0,1,1,176,0
33136.0,2957.0,4.0,1242.0,0.0,1,2,176,0
24681884.0,961533.0,365.0,496734.0,157.0,1,1,160,3
24655609.0,961898.0,341.0,496891.0,125.0,1,2,160,3
5196286.0,802778.0,12.0,278232.0,21.0,1,1,20,2
5204498.0,802790.0,27.0,278253.0,1.0,1,2,20,2
38642.0,3569.0,1.0,1718.0,0.0,1,1,101,2
38671.0,3570.0,0.0,1718.0,0.0,1,2,101,2
14988.0,536.0,0.0,331.0,0.0,1,1,110,5
15097.0,536.0,0.0,331.0,0.0,1,2,110,5
148869.0,41633.0,8.0,15421.0,5.0,1,1,112,1
149787.0,41627.0,11.0,15426.0,2.0,1,2,112,1
1773743.0,202922.0,14.0,73209.0,8.0,1,1,129,4
1762165.0,202936.0,17.0,73217.0,7.0,1,2,129,4
2084539.0,88725.0,8.0,38568.0,6.0,1,1,67,1
2077233.0,88733.0,19.0,38574.0,13.0,1,2,67,1
1429993.0,81955.0,18.0,38968.0,12.0,1,1,63,5
1427397.0,81973.0,23.0,38980.0,13.0,1,2,63,5
170464.0,8452.0,8.0,3153.0,5.0,1,1,40,5
170967.0,8460.0,12.0,3158.0,7.0,1,2,40,5
1737643.0,249571.0,124.0,42127.0,38.0,1,1,107,1
1741037.0,249695.0,220.0,42165.0,30.0,1,2,107,1
239493.0,287872.0,1.0,158760.0,0.0,1,1,138,1
238370.0,287873.0,-2.0,158760.0,-4.0,1,2,138,1
34388.0,2786.0,0.0,1039.0,0.0,1,1,181,1
34320.0,2786.0,0.0,1039.0,1.0,1,2,181,1
814273.0,664013.0,26.0,258046.0,15.0,1,1,156,3
819196.0,664039.0,45.0,258045.0,13.0,1,2,156,3
55413.0,2401.0,2.0,1006.0,0.0,1,1,189,3
54704.0,2400.0,1.0,1006.0,2.0,1,2,189,3
509353.0,27176.0,12.0,15084.0,23.0,1,1,180,1
511599.0,27171.0,43.0,15107.0,15.0,1,2,180,1
287974.0,47504.0,9.0,25356.0,9.0,1,1,90,1
288122.0,47513.0,20.0,25374.0,4.0,1,2,90,1
3502553.0,682224.0,154.0,168471.0,57.0,1,1,13,3
3494410.0,682378.0,501.0,168528.0,51.0,1,2,13,3
10237530.0,893104.0,191.0,359446.0,120.0,1,1,140,0
10213653.0,893295.0,409.0,359566.0,129.0,1,2,140,0
497189.0,52665.0,1.0,1845.0,2.0,1,1,105,4
494210.0,52666.0,8.0,1847.0,0.0,1,2,105,4
141749.0,50415.0,0.0,26728.0,1.0,1,1,36,1
141242.0,50414.0,2.0,26729.0,0.0,1,2,36,1
239789.0,74124.0,17.0,15540.0,21.0,1,1,14,1
241496.0,74141.0,120.0,15561.0,18.0,1,2,14,1
2978711.0,245095.0,6.0,138531.0,17.0,1,1,194,0
